VID (dec),Name,Remarks  
33554448,ControlState,"Contains the code identifies the current state of the equipment.  When reported related to a control state transition, its value should represent the state current after the transition."
,,1=OFFLINE/Equipment OFFLINE
,,2=OFFLINE/Attempt ON-LINE
,,3=OFFLINE/HOST OFFLINE
,,4=ON-LINE/LOCAL
,,5=ON-LINE/REMOTE
33554464,PreviousControlState,"Contains the code describing previous control state of the equipment, before the most recent control state change."
,,1=OFFLINE/Equipment OFFLINE
,,2=OFFLINE/Attempt ON-LINE
,,3=OFFLINE/HOST OFFLINE
,,4=ON-LINE/LOCAL
,,5=ON-LINE/REMOTE
33554688+x,RCxPresenceState,"RCx, x= 1-5"
,, 1 = Present
,, 0 = Not Present
33554704+x,LPxPresenceState,"LPx, x= 1-4"
,, 1 = Present
,, 0 = Not Present
33554721,CSTGPresenceState,Cooling Unit
,, 0 = Not in use
,, 1 = In use
33619984,LimitsEnabled,VID of the object to be limit-monitored.  
33685520,SMPn,The current sampling count based on the trace n.
+16 x p,,"xx=01h-04h, p=0-3"
,,n=1-4
33685584,TOTSMPn,"The total sampling count from the start to the end, based on the trace n."
+16 x p,,"xx=05h-08h, p=0-3"
,,"n=1-4 (Trace: 1-4, to TOTSMP1-4. xx=05h;TOTSMP1)"
33685648,TracesEnablen,VID being applied trace n.
+16 x p,,"xx=09h-0Ch, p=0-3"
,,"n=1-4 (Trace: 1-4, for TraceVID 1-4. xx=09h:TracesEnable1)"
33685712,TRIDn,ID of the old trace n.
+16 x p,,"xx=0Dh-10h, p=0-3"
,,"n=1-4 (Trace: 1-4, for TRID1-4. xx=0Dh;TRID1)"
33751056,SpoolCountActual,Count of the messages actually contained in the equipment’s spool area.
33751072,SpoolCountTotal,Count of the total number of primary messages directed to the spool.  
33751088,SpoolEnabled,The current state indicating whether the spool has been performed or not.
,,0= disabled
,,1= enabled
33751104,SpoolStartTime,The timestamp from the time spooling last became active.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
33751120,SpoolFullTime,The timestamp from the time the spool last became full.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
33751136,SpoolState,The current spooling state.
,,1=SPOOL ACTIVE
,,2=SPOOL INACTIVE
,,Valid only upon SpoolEnabled=1.
33751152,SpoolUnloadSubstate,The current spool-unloading state.
,,3=PURGE SPOOL
,,4=TRANSMIT SPOOL
,,5=NO SPOOL OUTPUT
,,Valid only upon SpoolState=1.
33751168,SpoolLoadSubstate,The current state of spool load.
,,6=SPOOL NOT FULL
,,7=SPOOL FULL
,,Valid only upon SpoolState=1.
33816592,AlarmsEnabled,Contains the list of alarms (ALIDs) enabled for reporting (via Stream 5).
33816608,AlarmsSet,"Content of this variable is a list of alarms (ALIDs) currently in the UNSAFE (alarm set) state, regardless whether the alarms are enabled for reporting."
33882144,EventsEnabled,Contains the event list (CEID) valid for reporting (via Stream 6).
33882160,Clock,The current value of the equipment’s internal clock.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
33882384,ProcessState,"Contains the code that identifies the current processing state of the equipment.  When reported related to a processing state transition, its value represents the state current after the transition.  "
,,0=IDLE
,,1=READY
,,2=SYSTEM RUN/RUN
,,3=SYSTEM RUN/PAUSING
,,4=SYSTEM RUN/PAUSE
,,5=SYSTEM RUN/STOPPING
,,6=SYSTEM RUN/ABORTING
,,7=SYSTEM RUN/TERMINATE
,,8=SYSTEM END/COMP
,,9=SYSTEM END/ST-END
,,10=SYSTEM END/AB-END
33882400,PreviousProcessState,"The previous processing state of the equipment, before the most recent process state change."
,,Contents of the data are same as ProcessState.
33882416,LPnControlState,The current control state of the load port n.
+n,,0=IDLE
,,1=READY
,,2=EXECUTING
,,(n=1-4)
33882432,FERbtControlState,The current control state of the front end robot.
,,0=IDLE
,,1=READY
,,2=EXECUTING
,,3=PAUSE
,,4=TEACH
33882448,BERbtControlState,The current control state of the back end robot.
,,0=IDLE
,,1=READY
,,2=EXECUTING
,,3=PAUSE
,,4=TEACH
33882464,AlignerControlState,The current control state of the wafer aligner.
,,0=IDLE
,,1=READY
,,2=EXECUTING
33882480,MetrologyControlState,The current control state of the metrology.
,,0=IDLE
,,1=READY
,,2=EXECUTING
33882496,LLAlignernControlState,The current control state of the loadlock  Aligner n.
+n,,0=IDLE
,,1=READY
,,2=EXECUTING
,,3=PAUSE
,,(n=1-2)
33882528,GVnControlState,The current control state of the gate valve n.
+n,,0=IDLE
,,1=READY
,,2=EXECUTING
,,(n=1-8)
33882544,GVnSensorState,The current sensor state of the gate valve n.
+n,,0=OPEN
,,1=CLOSE
,,2=NO SENS
,,3=ERROR
,,255=INITIALSTATE
,,(n=1-8)
33882592,LLCnControlState,The current control state of the loadlock n.
+n,,0=IDLE
,,1=READY
,,2=EXECUTING
,,(n=1-2)
33882608,LLCnPressState,The current pressure state of the loadlock n.
+n,,0=UNKNOWN
,,1=1ATM
,,2=TRANSITION
,,3=VACUUM
,,(n=1-2)
33882624,WHCControlState,The current control state of the WHC.
,,0=IDLE
,,1=READY
,,2=EXECUTING
33882640,WHCPressState,The current pressure state of the WHC.
,,0=UNKNOWN
,,1=1ATM
,,2=TRANSITION
,,3=VACUUM
33882768,RCnState,Contains the code that identifies the current control state of reactor n.
+n,,"When reported related to reactor state, its value represents the state current after the transition."
,,0=SETUP
,,1=STANDBY
,,2=IDLE
,,3=READY
,,4=PROC RUN/RUN
,,5=PROC RUN/PAUSE
,,6=PROC END/END
,,7=PROC END/ALARM END
,,8=PROC END/ABORT END
,,9=PROC END/WAIT
,,(n=1-4)
33882784,PreviousRCnState,"The previous control state of the reactor n, before the most recent state change."
+n,,Contents of the data are same as RCnState.
,,(n=1-4)
33882800,RCnPressState,The current pressure state of the reactor n.
+n,,0=UNKNOWN
,,1=1ATM
,,2=TRANSITION
,,3=VACUUM
,,(n=1-4)
33882816,RCnProRcpName,Name of the process recipe for reactor n that is currently valid.
+n,,(n=1-4)
33882832,RCnSeqInformation,The current information related to the process sequence of reactor n.
+n,,00h=Other
,,01h=Pre1
,,02h=Pre2
,,03h=Pre3
,,04h=Pre4
,,11h=Depo1
,,12h=Depo2
,,13h=Depo3
,,14h=Depo4
,,21h=Post1
,,22h=Post2
,,23h=Post3
,,24h=Post4
,,31h=First1
,,32h=First2
,,33h=First3
,,34h=First4
,,41h=Last1
,,42h=Last2
,,43h=Last3
,,44h=Last4
,,(n=1-4)
33882848,RCnStep,Step being performed in reactor n.
+n,,(n=1-4)
33882864,RCnStepName,Name of the step being performed in reactor n.
+n,,(n=1-4)
33882880,RCnStepTime,Execution step time of current reactor n.
+n,,Format: hhmmsscc(8)
,,cc=1/100 seconds
,,(n=1-4)
33882896,RCnStepRemainTime,Execution step remain time of current reactor n.
+n,,Format: hhmmsscc(8)
,,cc=1/100 seconds
,,(n=1-4)
33882912,RCnRecipeRemainTime,Execution recipe remain time of current reactor n.
+n,,Format: hhmmsscc(8)
,,cc=1/100 seconds
,,(n=1-4)
33882928,RCnCarrierID,Carrier ID of Execution wafer in current reactor n.
+n,,(n=1-4)
33890816,WaferLPnInformation,The current information of wafer contained in load port n.
+n,,"Format: wafer port no., wafer slot no."
,,(for 28 slots based on the format above.)
,,(n=1-4)
33890832,WaferLLnInformation,The current information of wafer contained in load lock n.
+n,,"Format: wafer port no., wafer slot no."
,,(for 2 slots based on the format above.)
,,(n=1-2)
33890848,WaferRCnInformation,The current information of the wafer contained in reactor n.
+n,,"Format: wafer port no., wafer slot no."
,,(n=1-4)
33890880,WaferCSTGnInformation,The current information of wafer contained in cooling stage n.
+n,,"Format: wafer port no., wafer slot no."
,,(for 3 slots based on the format above.)
,,(n=1-2)
33890896,WaferALNInformation,The current information of wafer contained in wafer aligner.
,,"Format: wafer port no., wafer slot no."
33890912,WaferMTRInformation,The current information of wafer contained in metrology.
,,"Format: wafer port no., wafer slot no."
33890928,WaferFERbtInformation,The current information of wafer contained in front end robot.
,,"Format: wafer port no., wafer slot no."
,,If Single Arm robot: n=2
,,If Dual Arm robot: n=4
33890944,WaferBERbtInformation,The current information of wafer contained in back end robot.
,,"Format: wafer port no., wafer slot no."
,,If Single Arm robot: n=2
,,If Dual Arm robot: n=4
33890960,NumPorts,The number of ports in the equipment.
33890976,PortLocStateN,Current information related to the load port N.
+n,,FALSE= no cassette
,,TRUE= cassette present
,,"(n=1-4, N=1-4)"
33890992,PortAlarmN,The current alarm condition in load port N.
+n,,"(n=1-4, N=1-4)"
33891008,PortLocAssignedN,The location of load port N assigned.  
+n,,"(n=1-4, N=1-4)"
33891024,PortCarrierIDN,ID of carrier N that can be used now.
+n,,"(n=1-4, N=1-4)"
33891040,PortLoadStateN,The current loading/unloading state of load port N.
+n,,0= unload
,,1= load
,,"(n=1-4, N=1-4)"
33891056,PortLockStateN,"The current state of the load port N, either locked/unlocked."
+n,,0= unlocked
,,1= locked
,,"(n=1-4, N=1-4)"
33891072,LPnWaferState,The current processing state of all wafers contained in carrier on load port n.
+n,,0= no wafer
,,1= unprocessed
,,2= processed
,,(n=1-4)
33891088,LPnProcessedWaferCount,The count of currently processed wafers contained in carrier on load port n.
+n,,(n=1-4)
33891104,LPnNoProcessedWaferCount,The count of currently unprocessed wafers contained in carrier on load port n.
+n,,(n=1-4)
33891120,RecipeFolderList,Recipe folder list.
,,1 item format: ASCII 16bytes
33891136,ActiveRecipeFolder_SV,Active recipe folder.
,,
33891152,MainteRCnInformation,The current state related to maintenance of reactor n.
+n,,0= normal
,,1= maintenance
,,2= engineering
,,(n=1-4)
33891168,MainteLLnInformation,The current state related to maintenance of load lock n.
+n,,0= normal
,,1= maintenance
,,(n=1-2)
33891184,MainteLPnInformation,The current state related to maintenance of load port n.  
+n,,0= normal
,,1= maintenance
,,(n=1-4)
33891200,RCnPMMaintenanceState,PM maintenance information of reactor n.
+n,,"If the deposition count exceeds the deposition count limit, the reactor becomes PM maintenance mode."
,,"At the PM maintenance state, if the deposition count is set below the deposition count limit, PM maintenance state is released."
,,0=Normal mode
,,1=PM Maintenance mode
,,(n=1-4)
33891216,WHCTMMaintenanceState,TM maintenance information of WHC.
,,"If the wafer count exceeds the wafer count limit, the WHC becomes TM maintenance mode."
,,"At the TM maintenance state, if the wafer count is set below the wafer count limit, TM maintenance state is released."
,,0=Normal mode
,,1=TM Maintenance mode
33891232,MainteUIOInformation,The current state related to maintenance of  UIO
,,0= normal
,,1= maintenance
33891296,LPnPresenceSensorState,Present sensor state.
+n,,FALSE= OFF
,,TRUE= ON
,,(n=1-4)
33891312,LPnPlacementSensorState,Placement sensor state.
+n,,FALSE= OFF
,,TRUE= ON
,,(n=1-4)
33891328,RCnDepoCountP_SV,Deposition count P of reactor n.
+16 x p,,Format: count (8)
+n,,Accumulate  time hhhhhmmsscc(11)
,,Date that count starts YYYYMMDD(8)
,,Time that count starts hhmmsscc(8)
,,cc=1/100 second
,,"xx=40h-53h, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-4)
33891648,RCnEtchCountP_SV,Etching count P of reactor n.  
+16 x p,,Format: count (8)
+n,,Accumulate  time hhhhhmmsscc(11)
,,Date of count start YYYYMMDD(8)
,,Time of count start hhmmsscc(8)
,,cc=1/100 second
,,"xx=54h-67h, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-4)
33891968,RCnDepoLimitP_SV,Deposition count limit P and accumulation time limit P of reactor n.
+16 x p,,Format: Count limit: xxxxxx(8)
+n,,Accumulation time limit: hhhhhmmsscc(11)
,,(cc=1/100 seconds)
,,"xx=68h-7Bh, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-4)
33892288,RCnEtchLimitP_SV,Etching count limit P and accumulation time limit P of reactor n.
+16 x p,,Format: Count limit: xxxxxx(8)
+n,,Accumulation time limit: hhhhhmmsscc(11)
,,(cc=1/100 seconds)
,,"xx=7Ch-8Fh, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-4)
33892608,RCnMFCpTotalFlowingQuantity_SV,Current MFC (AI) p accumulated gas quantity of reactor n. MFC is mass flow controller. AI is analog input.
+16 x p,,The data that AI is not MFC is 0.
+n,,"xx=90h-CFh, p=0-63"
,,(for AI0-63. xx=90h;AI0)
,,(n=1-4)
34154240,RCnMFCpTotalFlowingQuantity_SV,Current MFC (AI) p accumulated gas quantity of reactor n. MFC is mass flow controller. AI is analog input.
+16 x (pp-64),,The data that AI is not MFC is 0.
+n,,"xx=70h-8Fh, p=64-95"
,,(for AI64-95. xx=70h;AI64)
,,(n=1-4)
33893632,RCnDOpTotalCount_SV,Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x p,,Range is 0-99999999 cycle.
+n,,"xx=2D0h-32Fh, p=0-95"
,,(for DO0-95. xx=2D0h;DO0)
,,(n=1-4)
34154752,RCnDOpTotalCount_SV,Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x (pp-96),,Range is 0-99999999 cycle.
+n,,"xx=90h-BFh, p=96-143"
,,(for DO96-143. xx=90h;DO96)
,,(n=1-4)
34973952,RCnDOpTotalCount_SV,Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x (pp-144),,Range is 0-99999999 cycle.
+n,,"xx=90h-EFh, p=144-239"
,,(for DO144-239. xx=90h;DO144)
,,(n=1-4)
33895168,RCnRFpTotalTime,Current RF accumulated output time of reactor n. RF is high frequency transmitter.
+16 x p,,Range is 0-999999.99 sec.
+n,,"xx=30h-35h, p=0-5"
,,p=0 RF1 digital output time
,,p=1 RF1 analog output time
,,p=2 RF1 digital and analog output time
,,p=3 RF2 digital output time
,,p=4 RF2 analog output time
,,p=5 RF2 digital and analog output time
,,(n=1-4)
33895264,RCnThickness_SV,Current accumulated thickness of reactor n.
+n,,(n=1-5)
,,Range is 0-99999999 nm
,,or Range is 0-999999990 A
,,depending on the configured thickness unit.
33895280,RCnThicknessLimit_SV,Total Film Thickness Limit
+n,,(n=1-5)
,,Range is 0~99999999 nm
,,or Range is 0~999999990 A
,,depending on the configured thickness unit.
33895424,LLnWaferCountP_SV,Transferred wafer count P of load lock n.
+16 x p,,Format: Count: xxxxxx(8)
+n,,Count starting date: YYYYMMDD(8)
,,Count starting time: hhmmsscc(8)
,,cc=1/100 second
,,"xx=40h-53h, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-2)
33895744,LLnWaferLimitP_SV,Transferred wafer count limit P of load lock n.
+16 x p,,Format: Count limit: xxxxxx(8)
+n,,"xx=54h-67h, p=0-19, P=1-20"
,,(for Count1-20)
,,(n=1-2)
33896064,WHCWaferCountP_SV,Transferred wafer count P of WHC.
+16 x p,,Format: Count: xxxxxx(8)
,,Count starting date: YYYYMMDD(8)
,,Count starting time: hhmmsscc(8)
,,cc=1/100 second
,,"xx=68h-7Bh, p=0-19, P=1-20"
,,(for Count1-20)
33896384,WHCWaferLimitP_SV,Transferred wafer count limit P of WHC.
+16 x p,,Format: Count limit: xxxxxx(8)
,,"xx=7Ch-8Fh, p=0-19, P=1-20"
,,(for Count1-20)
33896704,RC?DepositionCount,Deposition count of reactor n from lot start of processing or cleaning execution
+n,,n=Number of Reactor (1-4)
33896720,RCnCleaningCount,Cleaning count of reactor n from lot start of processing or cleaning execution
+n,,n=Number of Reactor (1-4)
33900592,RCnPulseTimep_SV,Current actual pulse time of reactor n.
+16 x (p-1),,Format: sssssssss.ccc seconds
+n,,"x=3h-8h, p=1-6"
,,(n=1-4)
33900688,RCnPulseTimeTotal_SV,Current accumulated pulse time of reactor n.
+n,,Format: sssssssss.ccc seconds
,,(n=1-4)
33900704,RCnPulseCountTotal_SV,Current accumulated count of reactor n.
+n,,Range is 0-999999999 count.
,,(n=1-4)
33896736,RCnDOCountp,Current DOp actual ON count of reactor n. DO is digital output.
+16 x (p-1),,Range is 0-99999999 count.
+n,,"xxx=392h -481h, p=1-240"
,,(for DO0-239. xxx=392h;DO0)
,,(n=1-4)
33900800,ProcLLnSlowStartTime,Timestamp of last time Load Lock n started slow pump down
+n,,n=1-2
,,
33900816,ProcLLnSlowFinishTime,Timestamp of last time Load Lock n finished slow pump down
+n,,n=1-2
,,
33900832,ProcLLnFastStartTime,Timestamp of last time Load Lock n started fast pump down
+n,,n=1-2
,,
33900848,ProcLLnFastFinishTime,Timestamp of last time Load Lock n finished fast pump down
+n,,n=1-2
,,
33900864,ConfigVersion,Configuration version being used by this tool
,,
33900880,LastRCnLeakRate,Leak Rate (in mTorr/min) calculated during last leak check of Reactor Chamber n
+n,,(n=1-4)
33900896,LastRCnLeakCheckTimeStamp,Time stamp of last leak check for RCn
+n,,(n=1-4)
33900912,LastLLnLeakRate,Leak Rate (in mTorr/min) calculated during last leak check of Load Lock n
+n,,(n=1-2)
33900928,LastLLnLeakCheckTimeStamp,Time stamp of last leak check for Load Lock n
+n,,(n=1-2)
33900944,LastWHCLeakRate,Leak Rate (in mTorr/min) calculated during last leak check of the Wafer Handler Chamber
,,
33900960,LastWHCLeakCheckTimeStamp,Time stamp of last WHC leak check
,,
33906704,LLDwellFrequency_SV,Load Lock Dwell Frequency
,,0=Never
,,1=Job Only
,,2=Always
33906720,LLDwellStyle_SV,Load Lock Dwell Style
,,0=Isolate (RP)
,,1=Flow-WHC
,,2=Isolate (Atm)
,,3=Flow-FE
33906736,LLDwellTime_SV,Load Lock Dwell time
,,Range is 0~65535 Min.
33620000,RCnLimitMax/MinAIpp,The maximum/minimum value of the Alpp limit in reactor n.  
+16 x pp,,"Format: max.6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
,,"xx=02h-41h, pp=0-63"
,,(for AI0-63. xx=02h:AI0)
,,(n=1-4)
34148352,RCnLimitMax/MinAIpp,The maximum/minimum value of the Alpp limit in reactor n.  
+16 x (pp-64),,"Format: max.6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
,,"xx=00h-1Fh, pp=64-95"
,,(for AI64-95. xx=00h:AI64)
,,(n=1-4)
33621024,RCnLimitMax/MinTIpp,The maximum/minimum value of the Tlpp limit for the reactor n.  
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  TI is a temperature input value.
,,"xx=42h-61h, pp=0-31"
,,(for TI0-TI31. xx=42:TI0)
,,(n=1-4)
34673152,RCnLimitMax/MinTIpp,The maximum/minimum value of the Tlpp limit for the reactor n.  
+16 x (pp-32),,"Format: max. 6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  TI is a temperature input value.
,,"xx=20h-3Fh, pp=32-63"
,,(for TI32-TI63. xx=20h:TI32)
,,(n=1-4)
33621536,RCnLimitMax/MinDIpp,The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
,,"xx=62h-C1h, pp=0-95"
,,(for DI0-DI95. xx=62:DI0)
,,(n=1-4)
34148864,RCnLimitMax/MinDIpp,The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x (pp-96),,"Format: max. 6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
,,"xx=20h-4Fh, pp=96-143"
,,(for DI96-143. xx=20:DI96)
,,(n=1-4)
34679040,RCnLimitMax/MinDIpp,The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x (pp-144),,"Format: max. 6bytes, min. 6bytes"
+n,,The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
,,"xx=90h-EFh, pp=144-239"
,,(for DI144-239. xx=90:DI144
,,(n=1-4)
33623296,WLLimitMax/MinAIpp,The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
,,The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
,,"xx=D0h-D3h,pp=0-3"
,,"?for AI0-3, xx=D0h:AI0?"
33623552,WLLimitMax/MinAIp,The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
,,The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
,,"xx= E0h-EBh, pp=0-11,p=4-15"
,,(pp=0-11 for AI4-15. xx=E0h:AI4)
33623360,WLLimitMax/MinDIpp,The maximum/minimum value of the Dlpp limit for WHC/LL.
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
,,The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
,,"xx=D4h-DDh,pp=0-9"
,,"?for DI0-9, xx=D4:DI0?"
33624320,WLLimitMax/MinDIp,The maximum/minimum value of the Dlp limit for WHC/LL.
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
,,The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
,,"xxx=110h-1C5h,pp=0-181 ,p=10-191"
,,"?pp=0-181 for DI10-191, xxx=110:DI10?"
33623808,WLLimitMax/MinSAIpp,The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp,,"Format: max. 6bytes, min. 6bytes"
,,The upper/lower limits are determined by the value of the system data.  SAI is a sensor analog input value.
,,"xxx= 0F0h-10Fh, pp=0-31"
,,(for SAI0-31. xxx=0F0h:SAI0)
33883136,RcnAIp,The actual Alp data in current reactor n. Al is an analog input value.
+16 x p,,"xxx=040h-07Fh, p=0-63"
+n,,(for AI0-63. xxx=040h;AI0)
,,(n=1-4)
34149632,RcnAIp,The actual Alp data in current reactor n. Al is an analog input value.
+16 x (pp-64),,"xx=50h-6Fh, p=64-95"
+n,,(for AI64-95. xx=50h:AI64)
,,(n=1-4)
33884160,RCnAOp,The actual AOp data in current reactor n. AO is an analog output value.
+16 x p,,"xxx=080h-0BFh ,p=0-63"
+n,,(for AO0-63. xxx=080h;AO0)
,,(n=1-4)
34150144,RCnAOp,The actual AOp data in current reactor n. AO is an analog output value.
+16 x (pp-64),,"xx=70h-8Fh, p=64-95"
+n,,(for AO64-95. xx=70h;AO64)
,,(n=1-4)
33885184,RCnDIp,The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x p,,"xxx=0C0h-11Fh, p=0-95"
+n,,(for DI0-95. xxx=0C0h;DI0)
,,(n=1-4)
34150656,RCnDIp,The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x (pp-96),,"xx=90h-BFh, p=96-143"
+n,,(for DI96-143. xx=90h; DI96)
,,(n=1-4)
34949376,RCnDIp,The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x (pp-144),,"xx=90h-EFh, p=144-239"
+n,,(for DI144-239. xx=90h; DI144)
,,(n=1-4)
33886720,RCnDOp,The current state of actual DOp in reactor n. DO is a digital output value.
+16 x p,,"xxx=120h-17Fh, p=0-95"
+n,,(for DO0-95. xxx=120h;DO0)
,,(n=1-4)
34151424,RCnDOp,The current state of actual DOp in reactor n. DO is a digital output value.
+16 x (pp-96),,"xx=C0h-EFh, p=96-143"
+n,,(for DO96-143. xx=C0h; DO96)
,,(n=1-4)
34162688,RCnDOp,The current state of actual DOp in reactor n. DO is a digital output value.
+16 x (pp-144),,"xx=80h-DFh, p=144-239"
+n,,(for DO144-239. xx=80h; DO144)
,,(n=1-4)
33888256,RCnTIp,The actual Tlp data of reactor n. TI is a temperature input value.  
+16 x p,,"xxx=180h-19Fh, p=0-31"
+n,,(for TI0-31. xxx=180h;TI0)
,,(n=1-4)
34939392,RCnTIp,The actual Tlp data of reactor n. TI is a temperature input value.  
+16 x (p-32),,"xx=20h-3Fh, p=32-63"
+n,,(for TI32-63. xx=20h;TI32)
,,(n=1-4)
33888768,RCnTOp,The actual TOp data of reactor n. TO is a temperature output value.  
+16 x p,,"xxx=1A0h-1BFh, p=0-31"
+n,,(for TO0-31. xxx=1A0h;TO0)
,,(n=1-4)
34943488,RCnTOp,The actual TOp data of reactor n. TO is a temperature output value.  
+16 x (p-32),,"xx=20h-3Fh, p=32-63"
+n,,(for TO32-63. xx=20h;TO32)
,,(n=1-4)
33889280,RCnAOpOffset_SV,The AOp offset data in current reactor n. AO is an analog output value.
+16 x p+n,,"xxx=1C0h-1FFh, p=0-63"
,,(for AO0-63. xxx=1C0h;AO0)
,,(n=1-4)
34152192,RCnAOpOffset_SV,The AOp offset data in current reactor n. AO is an analog output value.
+16 x (pp-64),,"xxx=1F0h-20Fh, p=64-95"
+n,,(for AO64-95. xxx=1F0h;AO64)
,,(n=1-4)
33896320,RCnSAAOpOffset_SV,The SAAOp offset data in current reactor n. SAAO is a stand alone analog output value.
+16 x p+n,,"xxx=378h-37Fh, p=0-7"
,,(for SAAO0-7. xxx=378h;SAAO0)
,,(n=1-4)
