VID (dec),Name,Remarks  
34152704,RCnSAAOpOffset_SV,The SAAOp offset data in current reactor n. SAAO is a stand alone analog output value.
+16 x (pp-8),,"xx=10h-67h, p=8-95"
+n,,(for SAAO8-95. xx=10h;SAAO8)
,,(n=1-4)
33890304,RCnTOpOffset_SV,The TOp offset data of reactor n. TO is a temperature output value.
+16 x p+n,,"xxx=200h-21Fh, p=0-31"
,,(for TO0-31. xxx=200h;TO0)
,,(n=1-4)
34963968,RCnTOpOffset_SV,The TOp offset data of reactor n. TO is a temperature output value.
+16 x (p-32)+n,,"xx=20h-3Fh, p=32-63"
,,(for TO32-63. xx=20h;TO32)
,,(n=1-4)
34977792,WHCDOpTotalCount_SV,Total DO actual ON count of WHC
+p,,Range is 0-99999999 count.
,,"xx=0h -BFh, p=0-191"
,,(for DO0-191)
34996240,MessageLanguage_SV,The language of message displayed on MMI.
,,0=JAPANESE
,,1=ENGLISH
34996256,BuzzerFunction_SV,The rumbling function of buzzer.
,,0=Not Use
,,1=Use
34996272,EndBuzzer_SV,The method of rumbling buzzer when auto processing ends.
,,0=Standard
,,1=Not Use
,,2=Manual Mode
,,3=Local Mode
,,4=Manual or Local
34996288,SystemReset_SV,The use of system reset when status is AB-END or ST-END.
,,0=No Need
,,1=Need
34996304,RCReset_SV,The setting of reactor reset execution after process is processed in auto processing.
,,0=No? Execute
,,1=Execute
34996320,WAITRecipe_SV,The setting of wait processing execution when auto processing ends.
,,0=No? Execute
,,1=Execute
34996336,LLPressure_SV,The pressure of load lock when auto processing ends.
,,0=Keep
,,1=Vacuum
,,2=1Atm
34996352,CarrierStopped_SV,The transition condition to state of CarrierStopped.
,,0=Terminate
,,1=No Process
34996368,PJEngRecipeID_SV,ID character string of PJ Engineer Recipe.
,,
34996384,PJMultiCreate_SV,The creation method when two or more PJ is created.
,,0=Standard
,,1=Same Time
34996400,PJSlotCheck_SV,The function to check carrier slot when carrier exists at PJ creation.
,,0=No Check
,,1=One Slot
,,2=All Slot
34996416,WaferAlignerUse_SV,The function of wafer aligner
,,0=Not Use
,,1=Load Only
,,2=Unload Only
,,3=Load and Unload
34996432,InitCapInSetup_SV,Description
,,0=Not Execute
,,1=Execute
34996448,HandOffCap_SV,Description
,,0=Not Execute
,,1=Execute
34996512,ProcessCounter_SV,The method of counting process count.
,,0=per Recipe
,,1=per Step
34996528,PJEngRecipeRC_SV,The setting of RC that the engineering recipe can use.
,,0=Eng & Normal
,,1=Eng only
34996736,CarrierOutTiming_SV,The timing of carrier out.
,,0=Immediately
,,1=Wait Cleaning
,,2=PJ Complete
34996752,PJCompleteTiming_SV,The timing of PJ complete.
,,0=Wafer Complete
,,1=Normal
34996768,RCMaintenance_SV,The function of reactor enable/disable switching in auto processing.
,,0=Disable
,,1=Enable
,,2=Enable(Revival)
34996784,RCAbortProcess_SV,The processing method when reactor abort is occurred in auto processing.
,,0=Auto Pause
,,1=Maintenance
34996800,RCNonePJ_SV,The method of processing PJ when there is no reactor which can be processed.
,,0=Waiting
,,1=Abort(WaitPJ)
,,2=Abort(ProcPJ)
,,3=Abort
34996816,AbortedCJ_SV,The processing of CJ when system abort and system stop.
,,0=Run
,,1=Run&Carrier
,,2=All CJ
34996832,CJAbortCondition_SV,The condition of CJAbort.
,,0=Unrelated to PJ
,,1=Abort One PJ
,,2=Abort All PJ
34996848,PackPostFirstLastOfNextPJ_SV,The method of processing PackPost/First/Last when PJ is continuously processed.
,,0=Skip
,,1=Skip First/Last
,,2=All Execute
34996864,PackPostContinuousCondition_SV,The continuous condition of PackPost when PJ is continuously processed.
,,0=Same All Data
,,1=Same Style
34996880,RBEndInitialize_SV,The function of robot initialization when auto processing ends.
,,0=Not Execute
,,1=Execute
34996896,ResumeCleaning_SV,The function to execute cleaning at auto resume after all wafer are automatic returned to carrier while auto pauses.
,,0=Disable
,,1=Enable
34996912,PMMaintenance_SV,The processing of reactor when process count limit is exceeded in auto processing.
,,0=Disable
,,1=Enable
34996928,BERBLoadArm_SV,The function to fix arm when wafer is loaded into reactor of dual arm BERB.
,,0=Not Fixation
,,1=Fixation
34996944,LLLoadSlot_SV,Loadlock Load Slot
,,0=Lower Slot
,,1=Upper Slot
34996960,CLUnloadTiming_SV,The unload timing of unload from Cooling stage.
,,0=Wait wafer
,,1=Immediately
34996976,WaferPreTransfer_SV,The function to do preceding transfer of dual arm BERB.
,,0=Not Execute
,,1=Execute
34997248,RCnInitialInterval_SV,The job untreated time when cycle purge of the first time is executed.
+n,,Range is 0~65535 Min.
,,(n=1-5)
34997264,RCnRetryInterval_SV,The job untreated time when cycle purge since the second times is executed.
+n,,Range is 0~65535 Min.
,,(n=1-5)
34997280,LLnInitialInterval_SV,Load Lock Initial Interval
+n,,Range is 0~65535 Min.
,,(n=1-3)
34997296,LLnRetryInterval_SV,Load Lock Retry Interval
+n,,Range is 0~65535 Min.
,,(n=1-3)
34997312,LLnCycle_SV,Load Lock Cycle
+n,,Range is 0~65535 Min.
,,(n=1-3)
34997760,RCnAutoCleaningTriggerType_SV,The trigger type of Auto Chamber Cleaning of reactor n.
+n,,0=Processing Count
,,1=Processing Time
,,2=Thickness
,,(n=1-5)
34997776,RCnAutoCleaningCountingPro_SV,The Counting Process of Auto Chamber Cleaning of reactor n.
+n,,0=Main Only
,,1=Main / First /Last
,,(n=1-5)
34997792,RCnAutoCleaningTotalCount_SV,"The Total Processing Count , Time or Thickness of Auto Chamber Cleaning of reactor n."
+n,,"Range is 0~999999999 (times, sec or nm)."
,,(n=1-5)
34997808,RCnAutoCleanRcpExeTiming_SV,The Recipe Execution Timing of Auto Chamber Cleaning of reactor n.
+n,,"Range is 0~999999999 (times, sec or nm)."
,,(n=1-5)
34997824,RCnAutoLinePurgeTriggerTyp_SV,The trigger type of Auto Gas Line Purge of reactor n.
+n,,0=Processing Count
,,1=Processing Time
,,2=Thickness
,,(n=1-5)
34997840,RCnAutoLinePurgeCountPro_SV,The Counting Process of Auto Gas Line Purge of reactor n.
+n,,0=Main Only
,,1=Main / First /Last
,,(n=1-5)
34997856,RCnAutoLinePurgeClnTotalCnt_SV,"The Total Processing Count , Time or Thickness of Auto Gas Line Purge of reactor n."
+n,,"Range is 0~999999999 (times, sec or nm)."
,,(n=1-5)
34997872,RCnAutoLinePurgeRcpExeTimng_SV,The Recipe Execution Timing of Auto Gas Line Purge of reactor n.
+n,,"Range is 0~999999999 (times, sec or nm)."
,,(n=1-5)
34997888,RCnAutoCleanningCascadeMode_SV,Auto Cleanning Cascade Mode
+n,,0=Run after Process Job
,,1=Run after Water
,,(n=1-5)
34997904,RCnAutoLinePurgeCascadeMode_SV,Auto Gas Line Purge Cascade Mode
+n,,0=Run after Process Job
,,1=Run after Water
,,(n=1-5)
34998016,FFUAlarmTotalAlarmCount_SV,Current accumulated FFU alarm count.
,,Range is 0~999999999 (times).
34998032,FFUAlarmAutoPauseCountLimit_SV,FFU Alarm count limit for auto pause.
,,Range is 0~999999999 (times).
34998048,RCnPSCycleCountLimit_SV,Pulse Cycle Count Limit
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998064,RCnPSPulseCountLimit_SV,Pulse Count Limit
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998080,RCnPSPulseTimeLimit_SV,Pulse Time Limit  (in second)
+n,,(n=1-5)
,,Range is 0 ~999999999.999
34998096,RCnPSCycleCountCurrent,Current Pulse Cycle Count
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998112,RCnPSPulseCountCurrent,Current Pulse Count 
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998128,RCnPSPulseTimeCurrent,Current Pulse Time (in second)
+n,,(n=1-5)
,,Range is 0 ~999999999.
34998144,RCnPSCycleCountTotal_SV,Total Pulse Cycle Count 
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998160,RCnPSPulseCountTotal_SV,Total Pulse Count
+n,,(n=1-5)
,,Range is 0~999999999 cycle.
34998176,RCnPSPulseTimeTotal_SV,Total Pulse Time (in second)
+n,,(n=1-5)  
,,Range is 0 ~999999999.999
34998272,RCnTOpSetPoint,The TOp default setpoint data of reactor n. TO is a temperature output value.
+16 x p,,"xx=80h-BFh, p=0-63"
+n,,(for TO0~63. xx=80h;TO0)  
,,(n=1-5)
34999296,RCnTOpLightAlarmLow_SV,The TOp light alarm low data of reactor n. TO is a temperature output value.
+16 x p,,"xx=C0h-FFh, (p=0-63)"
+n,,(for TO0~63. xx=C0h;TO0)
,, (n=1-5)
35000320,RCnTOpLightAlarmHigh_SV,The TOp light alarm high data of reactor n. TO is a temperature output value.
+16 x p,,"xx=00h-3Fh, p=0-63"
+n,,(for TO0~63. xx=00h;TO0)
,, (n=1-5)
35001344,RCnTOpSeriousAlarmLow_SV,The TOp serious alarm low data of reactor n. TO is a temperature output value.
+16 x p,,"xx=40h-7Fh, p=0-63"
+n,,(for TO0~63. xx=40h;TO0)
,, (n=1-5)
35002368,RCnTOpSeriousAlarmHigh_SV,The TOp serious alarm high data of reactor n. TO is a temperature output value.
+16 x p,,"xx=80h-BFh, p=0-63"
+n,,(for TO0~63. xx=80h;TO0)  
,,(n=1-5)
35003392,RCnTOpCheck,The TOp serious alarm high data of reactor n. TO is a temperature output value.
+16 x p,,True= Check
+n,,False= No Check
,,"xx=C0h-FFh, p=0-63"
,,(for TO0~63. xx=C0h;TO0)
,, (n=1-5)
35004432,TP1Timer_SV,TP1 time-out time value.
,,Range is 1~999
35004448,TP2Timer_SV,TP2 time-out time value.
,,Range is 1~999
35004464,TP3Timer_SV,TP3 time-out time value.
,,Range is 1~999
35004480,TP4Timer_SV,TP4 time-out time value.
,,Range is 1~999
35004496,TP5Timer_SV,TP5 time-out time value.
,,Range is 1~999
35004512,TP6Timer_SV,TP6 time-out time value.
,,Range is 1~999
35004528,TD1Timer_SV,TD1 time-out time value.
,,Range is 1~999
35004544,LoadTimer1_SV,Load Timer1 time-out time value.
,,Range is 0.0~999.9
35004560,LoadTimer2_SV,Load Timer2 time-out time value.
,,Range is 0.0~999.9
35004576,UnloadTimer1_SV,Unload Timer1 time-out time value.
,,Range is 0.0~999.9
35004592,UnloadTimer2_SV,Unload Timer2 time-out time value.
,,Range is 0.0~999.9
35004608,PreProcessPurgeTime_SV,Pre Process Purge time-out time value.
,,Range is 0.0~999.9
35004624,PostProcessPurgeTime_SV,Post Process Purge time-out time value.
,,Range is 0.0~999.9
35004640,WaitPurgeOnTime_SV,Wait Purge On time-out time value.
,,Range is 0.0~999.9
35004656,WaitPurgeOffTime_SV,Wait Purge Off time-out time value.
,,Range is 0.0~999.9
35004672,DefaultPurgeMode_SV,Default Purge Mode
,,0=Nornal
,,1=Purge
35004688,LPnCarrierSettingIDREADER_SV,The IDReader use setting of the load port n.
+n,,0=Not Use
,,1=Use
,,(n=1-4)
35004704,LPnCarrierSettingStyle_SV,The IDReader using style setting of the load port n.
+n,,0=ID Set
,,1=Use Mes
,,2=No Mes
,,(n=1-4)
35004720,LPnCarrierSettingDefaultID_SV,The default ID when IDReader not using of the load port n.
+n,,(n=1-4)
35004736,LPnMapVerificaionDialogStyl_SV,The Map Verification Dialog use setting of the load port n.
+n,,0=Use
,,1=Not Use
,,(n=1-4)
35004928,EntrySystemConfiguration,The entry file of System Configuration.
,,
35004944,EntryWHCLLConfiguration,The entry file of WHC/Load Lock Configuration.
,,
35004992,EntryLoadportConfiguration,The entry file of Loadport Configuration.
,,
35004960,EntrySystemParameter,The entry file of System Parameter
,,
35004976,EntryTransPatternParameter,The entry file of Transfer Pattern Parameter
,,
35005008,EntryLoadportParameter,The entry file of Loadport Parameter
,,
35005056,EntryTMConfiguration,The entry file of Transport Module Configuration.
,,
35005072,EntryFERobotParameter,The entry file of FE Robot Parameter
,,
35005088,EntryBERobotParameter,The entry file of BE Robot Parameter
,,
35005120,EntryGasLineConfiguration,The entry file of Gas Line Configuration
,,
35005136,EntryGasLineImgFileParameter,The entry file of Gas Line Image File Parameter
,,
35005152,EntryTempLineConfiguration,The entry file of Temperature Line Configuration for the TMC
,,
35005168,EntryTempLineImgFileParameter,The entry file of Temperature Line Image File Parameter for the TMC
,,
35005184,EntryPMCnPMConfiguration,The entry file of PMCn Process Module Configuration.
+n,,(n=1-5)
35005200,EntryPMCnPMParameter,The entry file of PMCn Process Module Parameter.
+n,,(n=1-5)
35005216,EntryPMCnComponent,The entry file of PMCn Component.
+n,,(n=1-5)
35005232,EntryPMCnGasLnConfiguration,The entry file of PMCn Gas Line Configuration.
+n,,(n=1-5)
35005248,EntryPMCnGasLnImageFile,The entry file of PMCn Gas Line Image File.
+n,,(n=1-5)
35005408,EntryPMCxTempLnConfiguration,The entry file of Temperature Line Configuration for the PMCn.
+n,,(n=1-5) (x=1-5)
35005424,EntryPMCxTempLnImageFile,The entry file of Temperature Line Image File Parameter for the PMCn.
+n,,(n=1-5) (x=1-5)
35005344,EntryPMCnCyclePurgeRecipe,The entry file of PMCn Cycle Purge Recipe.
+n,,(n=1-5)
35005360,EntryPMCnLeakCheckRecipe,The entry file of PMCn Leak Check Recipe.
+n,,(n=1-5)
35005376,EntryPMCnChamberCleanRecipe,The entry file of PMCn Chamber Cleaning Recipe.
+n,,(n=1-5)
35005392,EntryPMCnGasLinePurgeRecipe,The entry file of PMCn Gas Line Purge Recipe.
+n,,(n=1-5)
35005440,DeviceID,Identifier assigned to the equipment.
,,Range is 0000h~7FFFh
35005456,T3Timer,T3Timer(Reply Timeout).
,,Range is 1-120
35005472,T5Timer,T5Timer(Connection Separation Timeout).
,,Range is 1-240
35005488,T6Timer,T6Timer(Control Transaction Timeout).
,,Range is 1-240
35005504,T7Timer,T7Timer(Connection Idle Timeout).
,,Range is 1-240
35005520,T8Timer,T8Timer(Network Intercharacter Timeout).
,,Range is 1-120
35005536,LinkTestTimer,Link Test Timer. 0 represents that no Link Test has been sent.
,,Range is 0-60
35005552,ActivePassive,Connection Mode.
,,0=Active
,,1=Passive
35005696,RCnMFCpTotalFlowingLimit,MFC (AI) p accumulated gas limit of reactor n. MFC is mass flow controller. AI is analog input.
+16 x p,,The data that AI is not MFC is 0.
+n,,"xx=50h-AFh, p=00-95"
,,(for AI00~95. xx=50h;AI0) 
,,(n=1-5)
35007232,RCnDOpTotalLimit,DOp accumulated output cycle of reactor n. DO is digital output.
+16 x p,,Range is 0~99999999 cycle.
+n,,"xxx=2B0h-33Fh, p=0-143"
,,(for DO0-143. xxx=2B0h;DO0) 
,,(n=1-5)
35009536,RCnDOpCurrentCount,DOp current output cycle of reactor n. DO is digital output.
+16 x p,,Range is 0~99999999 cycle.
+n,,"xxx=340h-3CFh, p=0-143"
,,(for DO0-143. xxx=340h;DO0) 
,,(n=1-5)
35012352,LLnSetPress,SetPress value of load lock n.
+n,,(n=1-2)
35012357,WHCSetPress,SetPress value of WHC.
,,
35012368,LLnSetFlow,SetFlow value of load lock n.
+n,,(n=1-2)
35012373,WHCSetFlow,SetFlow value of WHC.
,,
35012384,LLnALIGNSetAngle,SetAngle value of LLnALIGN.
+n,,(n=1-2)
35012400,LLnALIGNSetOffset,SetOffset value of LLnALIGN.
+n,,(n=1-2)
35012416,LLnALIGNSetSpeed,SetSpeed value of LLnALIGN.
+n,,(n=1-2)
35012432,FERbtSetSpeed,SetSpeed value of FE Robot.
,,
35012449,BERbtSetSpeedJEL,SetSpeed value of JEL BE Robot.
,,
35012592,FerbTeachKHIDLPn,The teaching data for KHID FERBT of load port n.
+16 x n,,Format of one item: 20
,,(n=1-4)
,,N=n-1
35012656,FerbTeachKHIDLLn,The teaching data for KHID FERBT of load lock n.
+16 x n,,Format of one item: 20
,,(n=1-2)
,,N=n+3
35012688,FerbTeachKHIDCSn,The teaching data for KHID FERBT of cooling stage n.
+16 x n,,Format of one item: 20
,,(n=1-2)
,,N=n+5
35012736,FerbTeachKHID metrology,The teaching data for KHID FERBT of metrology.
,,Format of one item: 20
35012752,FerbTeachKHIDAlinger,The teaching data for KHID FERBT of aligner.
,,Format of one item: 20
35012848,FerbParamKHIDLPn,The parameter data for KHID FERBT of load port n.
+16 x n,,Format of one item: 20
,,(n=1-4)
,,N=n-1
35012912,FerbParamKHIDLLn,The parameter data for KHID FERBT of load lock n.
+16 x n,,Format of one item: 20
,,(n=1-2)
,,N=n+3
35012944,FerbParamKHIDCSn,The parameter data for KHID FERBT of cooling stage n.
+16 x n,,Format of one item: 20
,,(n=1-2)
,,N=n+5
35012992,FerbParamKHID metrology,The parameter data for KHID FERBT of metrology.
,,Format of one item: 20
35013008,FerbParamKHIDAlinger,The parameter data for KHID FERBT of aligner.
,,Format of one item: 20
35013024,FerbParamKHIDLowOffset,The parameter data for KHID FERBT of lower arm offset.
,,Format of one item: 20
35013376,BerbTeachJEL_LLn-n-N,The teachng data for JEL BERBT of load lock.
+16 x M,,Format of one item: 20
+ N,,M means Position of LL.
,,M=0:LL1-1
,,M=1:LL1-2
,,M=2:LL2-1
,,M=3:LL2-2
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35013376,BerbTeachJELRCn-N,The teachng data for JEL BERBT of reactor.
+16 x M,,Format of one item: 20
+ N,,M means Position of RC.
,,M=4:RC1
,,M=5:RC2
,,M=6:RC3
,,M=7:RC4
,,M=8:RC5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35013600,BerbSpeedJELSpeedN,The speed data for JEL BERBT.
+N,,Format of one item: 20
,,N means the data of speed.
,,N=0:Speed High
,,N=1:Speed Low
,,N=2:Acceleration
,,N=3:Jerk
35013728,EntryPMCnPreIdleRecipe,The entry file of PMCn Pre Idle Recipe.
+n,,(n=1-5)
35013744,EntryPMCnPostIdleRecipe,The entry file of PMCn Post Idle Recipe.
+n,,(n=1-5)
35013632,EntryPMCnHOPrepLoadRecipe,The entry file of Hand Off Prep Load Recipe.
+n,,(n=1-5)
35013648,EntryPMCxHOPostLoadRecipe,The entry file of PMCn Hand Off Post Load Recipe.
+n,,(n=1-5)
35013664,EntryPMCnHOPrepUnloadRecipe,The entry file of PMCn Hand Off Prep Unload Recipe.
+n,,(n=1-5)
35013680,EntryPMCnHOPostUnloadRecipe,The entry file of PMCn Hand Off Post Unload Recipe.
+n,,(n=1-5)
35021328 +16*p,RCnPSSourcepUseCountLimit_SV,Use Count Limit for Source p
+n,,xx=0x21-2A
,,p=0-9 
,,n=1-5
,,Range is 0~999999999 pulses.
35021584 +16*p,RCnPSSourcepUseTimeLimit_SV,Use Time Limit for Source p
+n,,xx=0x31-3A
,,p=0-9
,,n=1-5     
,,Range is 0 ~999999999.999
35021840 +16*p,RCnPSSourcepUseCountTotal_SV,Total Use Count for Source p
+n,,xx=0x41-4A
,,p=0-9
,,n=1-5     
,,Range is 0~999999999 pulses.
35022096 +16*p,RCnPSSourcepUseTimeTotal_SV,Total Use Time for Source p
+n,,xx=0x51-5A
,,p=0-9
,,n=1-5     
,,Range is 0 ~999999999.999
35022352 +16*p,RCnPSSourcepUseCountCurrent,Current Use Count for Source p
+n,,xx=0x61-6A
,,p=0-9
,,n=1-5     
,,Range is 0~999999999 pulses.
35022608 +16*p,RCnPSSourcepUseTimeCurrent,Current Use Time for Source p
+n,,xx=71-7A
,,p=0-9
,,n=1-5   
,,Range is 0 ~999999999.999
35022848,RCnAnalogPIDpMethod_SV,Analog PID p Method for RC n
+16 x p,,"x=1-4, p=1-4 (There are up to four PID control loops"
+n,,n=1-5
,,Values are:
,,"0=P Control,"
,,"1=I Control,"
,,"2=D control,"
,,3=Special
35023104,RCnAnalogPIDpPValue_SV,Analog PID p P-Value for RC n
+16 x p,,x=0x1-4 p=1-4
+n,,n=1-5
,,Range is 0~999.999
35023360,RCnAnalogPIDpIValue_SV,Analog PID p I-Value for RC n
+16 x p,,x=0x1-4 p=1-4
+n,,n=1-5
,,Range is 0~999.999
35023632,RCnAnalogPIDpDValue_SV,Analog PID p D-Value for RC n
+16 x p,,x=0x1-4 p=0-3
+n,,n=1-5
,,Range is 0~9.999
35023887 +n,RCnBallastCheckEnabled_SV,Ballast Check Enabled
,,n= 1-5
,,0xFF=Enable
,,0x00=Disable
35023903    +n,RCnBallastCheckLowerLimit_SV,Ballast Check Lower Limit
,,n= 1-5
,,Range is 0~20.00
,,
35023919 +n,RCnBallastCheckUpperLimit_SV,Ballast Check Upper Limit
,,n= 1-5
,,Range is 0~20.00
,,
35023935 +n,RCnTHVMonitorEnabled_SV,Throttle Valve Monitoring Enable
,,n= 1-5
,,0xFF=Enable
,,0x00=Disable
35023951 +n,RCnTHVMonitorErrorBand_SV,Throttle Valve Error Band (Torr)
,,n= 1-5
,,Range is 0~99.99
35023968,RCnTHVMonitorSettleTime_SV,Throttle Valve Settle Time (second)
,,n = 1-5
,,Range is 0~65535
35023984,RCnTHVMonitorOutOfBandTime_SV,Throttle Valve Out of Band Time (second)
,,n = 1-5
,,Range is 0~65535
35023999 +n,RCnEmerALDReactorFanAutoLowerTemperatureLimit ,"The lower band limit temperature for the EmerALD Medallion reactor fan in Auto mode. When in Auto Mode, the fan will turn OFF when the GCP (TE331) reads less than this temperature. It will remain off until the temperature reaches the auto upper limit (RCXEmerALDReactorFanAutoUpperTemperatureLimit). (n=1-5)"
35024016,RCXEmerALDReactorFanAutoUpperTemperatureLimit,"The upper band limit temperature for the EmerALD Medallion reactor fan in Auto mode. When in Auto Mode, the fan will turn ON when the GCP (TE331) reads more than this temperature. It will remain on until the temperature drops below the auto lower limit (RCXEmerALDReactorFanAutoLowerTemperatureLimit)."
35016192 + 16?p + n,RCnMFCSetpointOffsetAIp,All ten Setpt Offset group data points for RCn Analog Input p.
,,"xxx=4E0h-53Fh, p=0-95 (AI number)"
,,n = 1-5  (reactor)
,,Range is -50% to 50%
,,
35024944 +n,RCnSusUpPositionMM_SV,RCn susceptor Up position in millimeters.
,,n = 1-5
35024960 +n,RCnSusContactPositionMM_SV,RCn susceptor Contact position in millimeters.
,,n = 1-5
35024976 +n,RCnSusDownPositionMM_SV,RCn susceptor Down position in millimeters.
,,n = 1-5
35025008 +n,RCnSusRotationSpeedRPM_SV,RCn susceptor Rotational Speed of reactor n.
,,Range=0.0-1125.0 (rpm)
,,n = 1-4 (RC1-4)
35025568,RCnTOpDelta,The TOpDelta delta of reactor n.
+16 x p,,"xx=2Ah-69h, p=0-63"
+n,,(for TO0~63. xx=2Ah;TO0)  (n=1-5)
35026592,RCnDepoCountpIntValue,Expose Deposition Count of reactor n as integer value.
+16 x p,,"Xx=6Ah-7Dh, p=0-19, n=1-5"
+n,,
35026912,RCnEtchCountpIntValue,Expose Etch Count of reactor n as integer value.
+16 x p,,"Xx=7Eh-91h, p=0-19, n=1-5"
+n,,
34155520,WHCLLAIp,The actual Alp data in current WHC/LL. Al is an analog input value.
+16 x p,,"xx=C0h-CFh, p=0-15"
,,?for AI0-15. xx=C0h:AI0?
34155584,WHCLLAI4,"Fan Filter Unit (Left Unit, Fan #1) [Note this is included in the WHCLLAIp VID range]"
,,
34155600,WHCLLAI5,"Fan Filter Unit (Left Unit, Fan #2) [Note this is included in the WHCLLAIp VID range]"
,,
34155616,WHCLLAI6,"Fan Filter Unit (Right Unit, Fan #1) [Note this is included in the WHCLLAIp VID range]"
,,
34155632,WHCLLAI7,"Fan Filter Unit (Right Unit, Fan #2) [Note this is included in the WHCLLAIp VID range]"
,,
34156288,WHCLLAOp,The actual AOp data in current WHC/LL. AO is an analog output value.
+16 x p,,"xx=F0h-FFh ,p=0-15"
,,?for AO0-15xx=D0h;AO0?
34156544,WHCLLDIp,The current state of actual Dlp in WHC/LL. DI is a digital input value.
+16 x p,,"xx=00h-BFh, p=0-191"
,,?for DI0-191; xx=00h; DI0?
34159616,WHCLLDOp,The current state of actual DOp in WHC/LL. DO is a digital output value.
+16 x p,,"xxx=3C0h-47Fh, p=0-191"
,,?for DO0-191; xxx=3C0h;DO0?
34155776,WHCLLSAIp,The actual SAlp data in current WHC/LL. SAl is an analog Sensor input value.
+16 x p,,"xx=D0h- EFh ,p=0-31"
,,?for SAI0-31; xx=D0h;SAI0?
35021008 +n,LLnLeakCheckLeakRateLimit,"Loadlock n leak rate limit, where n= 1-2. Measure unit is in mTorr/min."
,,
35021012 +n,LLnLeakCheckWaitTime,"Loadlock n wait time, where n= 1-2."
,,Measure unit is in second.
35021016 +n,LLnLeakCheckLeakTime,"Loadlock n leak time, where n=1-2."
,,Measure unit is in second.
35021020 +n,LLnLeakCheckAbortLimit,"Loadlock n abort limit, where n=1-2."
,,Measure unit is in Torr.
35021024 +n,LLnLeakCheckInterval,Loadlock n leak check interval n=1-2.
,,Measure unit is in minute.
35021028 +n,LLnLeakCheckRetry,Loadlock n leak check retry n=1-2.
,,Measure unit is in minute.
35021033,WHCLeakCheckLeakRateLimit,WHC leak rate limit.
,,Measure unit is in mTorr/min.
35021034,WHCLeakCheckWaitTime,WHC wait time.
,,Measure unit is in second.
35021035,WHCLeakCheckLeakTime,WHC leak time.
,,Measure unit is in second.
35021036,WHCLeakCheckAbortLimit,WHC abort limit.
,,Measure unit is in Torr.
35021037,WHCLeakCheckInterval,WHC leak check interval.
,,Measure unit is in minute.
35021038,WHCLeakCheckRetry,WHC leak check retry.
,,Measure unit is in minute.
35027248,PressureDisplayUnits,"Type of units to use for displaying pressure values in capabilities. 0=Torr, 1=kPa."
35027264,ATMLimit,Approximate atmospheric pressure at equipment location in Torr.
